Takim No, Paket No, Zaman, Basinc1, Basinc2, Yukseklik1 , yukseklik2, Irtifa Farki, Inis Hizi, Sicaklik, Pil Gerilimi, GPS Longtitude1, GPS Latitude1, GPS Altitude1, GPS Latitude2, GPS Longtitude, GPS Altitude2, Uydu Statusu, Pitch, Roll, Yaw, Donus Sayisi, Video Aktarim Bilgisi
464474,1,1:28:53,90454,90189,0.030629,0.000000,-0.030629,-0.076000,23.219999,15.234947,33.985107,38.350045,950.500000,0.000000,0.000000,0.000000,Bekleme,-1.680875,-0.381291,-0.032583,0,hayir 
464474,2,1:28:53,90457,90190,0.091451,-0.000000,-0.091451,-0.067579,23.219999,15.234947,33.985107,38.350045,950.299988,0.000000,0.000000,0.000000,Bekleme,-1.590011,-0.463293,-0.038337,0,hayir 
464474,3,1:28:54,90456,90186,0.030670,0.856928,0.826258,0.067534,23.240000,15.226106,33.985107,38.350045,950.099976,0.000000,0.000000,0.000000,Bekleme,-1.603660,-0.307452,-0.066720,0,hayir 
464474,4,1:28:55,90459,90182,0.091445,0.000000,-0.091445,-0.062282,23.260000,15.230526,33.985111,38.350045,950.200012,0.000000,0.000000,0.000000,Bekleme,-1.593649,-0.328331,-0.074534,0,hayir 
464474,5,1:28:56,90456,90191,0.106649,0.000000,-0.106649,-0.016893,23.280001,15.234947,33.985111,38.350045,950.200012,0.000000,0.000000,0.000000,Bekleme,-1.681745,-0.372320,-0.076681,0,hayir 
464474,6,1:28:57,90458,90186,-0.030228,0.000000,0.030228,0.152085,23.290001,15.234947,33.985111,38.350045,950.200012,0.000000,0.000000,0.000000,Bekleme,-1.649390,-0.356706,-0.082254,0,hayir 
464474,7,1:28:58,90458,90190,-0.075887,0.000000,0.075887,0.050733,23.290001,15.234947,33.985111,38.350041,950.799988,0.000000,0.000000,0.000000,Bekleme,-1.625449,-0.353303,-0.090041,0,hayir 
464474,8,1:28:59,90454,90188,-0.037766,0.000000,0.037766,-0.042357,23.299999,15.234947,33.985111,38.350037,951.000000,0.000000,0.000000,0.000000,Bekleme,-1.671625,-0.363893,-0.103033,0,hayir 
464474,9,1:29:0,90455,90187,0.045919,0.856928,0.811009,-0.092983,23.309999,15.230526,33.985111,38.350037,951.799988,0.000000,0.000000,0.000000,Bekleme,-1.610597,-0.283390,-0.116146,0,hayir 
464474,10,1:29:2,90455,90187,0.045827,-0.000000,-0.045827,0.000102,23.309999,15.230526,33.985111,38.350037,951.700012,0.000000,0.000000,0.000000,Bekleme,-1.609667,-0.437289,-0.121505,0,hayir 
464474,11,1:29:3,90456,90192,0.140672,0.856928,0.716256,-0.039052,23.320000,15.234947,33.985107,38.350037,951.700012,0.000000,0.000000,0.000000,Bekleme,-1.663553,-0.407686,-0.119514,0,hayir 
464474,12,1:29:4,90456,90186,-0.045385,-1821066112.000000,-1821066112.000000,0.206730,23.340000,15.234947,33.985107,38.350037,951.599976,0.000000,0.000000,0.000000,Bekleme,-1.677727,-0.368165,-0.131324,0,hayir 
464474,13,1:29:5,90459,90189,0.121857,-0.000000,-0.121857,-0.185824,23.350000,15.226106,33.985107,38.350037,951.700012,0.000000,0.000000,0.000000,Bekleme,-1.571158,-0.327531,-0.147997,0,hayir 
464474,14,1:29:6,90457,90186,0.106695,-0.000000,-0.106695,0.016847,23.379999,15.234947,33.985103,38.350037,951.700012,0.000000,0.000000,0.000000,Bekleme,-1.617277,-0.359493,-0.165715,0,hayir 
464474,15,1:29:7,90453,90190,0.137192,0.856928,0.719736,-0.033886,23.389999,15.234947,33.985103,38.350037,951.900024,0.000000,0.000000,0.000000,Bekleme,-1.509145,-0.401666,-0.182872,0,hayir 
464474,17,1:29:9,90455,90186,0.077421,-1821066112.000000,-1821066112.000000,-0.026627,23.410000,15.226106,33.985099,38.350041,952.599976,0.000000,0.000000,0.000000,Bekleme,-1.805680,-0.446612,-0.201512,0,hayir 
464474,18,1:29:10,90459,90186,0.042274,0.000000,-0.042274,0.054692,23.430000,15.230526,33.985099,38.350041,952.900024,0.000000,0.000000,0.000000,Bekleme,-1.652465,-0.326550,-0.209347,0,hayir 
464474,19,1:29:11,90457,90188,0.099116,0.000076,-0.099040,-0.063158,23.440001,15.230526,33.985099,38.350041,953.099976,0.000000,0.000000,0.000000,Bekleme,-1.589402,-0.347163,-0.203236,0,hayir 
464474,20,1:29:12,90454,90184,0.061117,-0.000000,-0.061117,0.042222,23.459999,15.226106,33.985095,38.350041,953.200012,0.000000,0.000000,0.000000,Bekleme,-1.701539,-0.413682,-0.218374,0,hayir 
464474,21,1:29:13,90459,90188,0.038300,-0.000000,-0.038300,0.025352,23.469999,15.230526,33.985095,38.350041,953.400024,0.000000,0.000000,0.000000,Bekleme,-1.840039,-0.454030,-0.222216,0,hayir 
464474,22,1:29:14,90454,90185,-0.060684,-0.000000,0.060684,0.109982,23.490000,15.230526,33.985095,38.350041,953.599976,0.000000,0.000000,0.000000,Bekleme,-1.579910,-0.408783,-0.237797,0,hayir 
464474,23,1:29:15,90454,90194,0.045832,-0.000000,-0.045832,-0.118352,23.510000,15.221684,33.985095,38.350041,953.700012,0.000000,0.000000,0.000000,Bekleme,-1.654615,-0.384295,-0.239751,0,hayir 
464474,24,1:29:16,90450,90189,0.121902,0.000076,-0.121826,-0.084522,23.520000,15.226106,33.985095,38.350041,953.700012,0.000000,0.000000,0.000000,Bekleme,-1.474297,-0.257353,-0.234542,0,hayir 
464474,25,1:29:17,90451,90189,0.344290,-0.000000,-0.344290,-0.101522,23.530001,15.230526,33.985095,38.350041,953.700012,0.000000,0.000000,0.000000,Bekleme,-1.380316,-0.203968,-0.244743,0,hayir 
464474,26,1:29:18,90455,90190,0.380503,-0.000000,-0.380503,-0.040237,23.530001,15.226106,33.985095,38.350041,953.700012,0.000000,0.000000,0.000000,Bekleme,-1.541235,-0.329963,-0.240000,0,hayir 
464474,27,1:29:19,90446,90185,0.365214,0.856928,0.491714,0.016988,23.540001,15.221684,33.985087,38.350045,954.700012,0.000000,0.000000,0.000000,Bekleme,-1.594161,-0.322608,-0.241418,0,hayir 
464474,28,1:29:20,90451,90184,0.517354,-254827473151640330672537600.000000,-254827473151640330672537600.000000,-0.169045,23.559999,15.226106,33.985087,38.350045,954.900024,0.000000,0.000000,0.000000,Bekleme,-1.651356,-0.403435,-0.248158,0,hayir 
464474,29,1:29:22,90449,90191,0.669490,-1821066112.000000,-1821066112.000000,-0.169039,23.580000,15.226106,33.985087,38.350045,955.099976,0.000000,0.000000,0.000000,Bekleme,-1.638055,-0.362158,-0.253505,0,hayir 
464474,30,1:29:23,90451,90191,0.737976,0.000000,-0.737976,-0.076096,23.600000,15.226106,33.985087,38.350045,955.099976,0.000000,0.000000,0.000000,Bekleme,-1.680465,-0.361498,-0.262469,0,hayir 
464474,31,1:29:24,90452,90191,0.722733,0.000000,-0.722733,0.016937,23.600000,15.226106,33.985087,38.350045,955.200012,0.000000,0.000000,0.000000,Bekleme,-1.615525,-0.439719,-0.270510,0,hayir 
464474,32,1:29:25,90450,90191,0.681251,-0.000000,-0.681251,-0.078057,23.610001,15.226106,33.985087,38.350045,955.400024,0.000000,0.000000,0.000000,Bekleme,-1.642618,-0.371337,-0.275900,0,hayir 
464474,33,1:29:26,90448,90190,0.654241,-0.000000,-0.654241,0.030011,23.629999,15.226106,33.985083,38.350045,955.599976,0.000000,0.000000,0.000000,Bekleme,-1.677932,-0.320213,-0.286183,0,hayir 
464474,34,1:29:27,90452,90192,0.730316,-1821066112.000000,-1821066112.000000,-0.084528,23.650000,15.230526,33.985083,38.350045,955.900024,0.000000,0.000000,0.000000,Bekleme,-1.606836,-0.368571,-0.291990,0,hayir 
464474,35,1:29:28,90449,90191,0.707484,-1821066112.000000,-1821066112.000000,0.025369,23.650000,15.226106,33.985083,38.350045,956.299988,0.000000,0.000000,0.000000,Bekleme,-1.640290,-0.339761,-0.300160,0,hayir 
464474,36,1:29:29,90449,90186,0.753189,-0.000000,-0.753189,-0.050783,23.650000,15.226106,33.985083,38.350045,956.599976,0.000000,0.000000,0.000000,Bekleme,-1.610443,-0.333187,-0.288400,0,hayir 
